date,year,season,location,sampleID,sampling,sky,startTime,endTime,microhabitat,quadrat,lat,long,alt,depth,pH,wTemp,DO,light,flow,turb,cond,aTemp,notes
6/8/2017,2017,Summer,Downstream,waterQ_SU17DR,water,,,,,,,,,,7.2,14.5,10.12,64.2,0.0957,1.6,93,,
6/9/2017,2017,Summer,Upstream,waterQ_SU17UR,water,,,,,,,,,,7.4,13.48,10.13,144.7,0.299,1.31,105.1,,
5/29/2018,2018,Summer,Downstream,01DRSU18,macros,sunny,9:22,11:30,,,,,,,7.61,17.4,8.32,,,,,,
5/31/2018,2018,Summer,Upstream,01URSU18,macros,sunny,10:14,11:30,,,,,,,7.48,17.3,8.55,,,,,,
6/5/2018,2018,Summer,Downstream,02DRSU18,macros,part clouds,9:24,11:30,,,,,,,7.51,14.1,8.84,,,,,,
6/6/2018,2018,Summer,Upstream,02URSU18,macros,sunny (few clouds),9:47,11:30,,,,,,,7.53,14.4,9.06,,,,,,
6/7/2018,2018,Summer,Downstream,03DRSU18,macros,cloudy,9:28,11:30,,,,,,,7.4,15.2,8.82,,,,,,
6/8/2018,2018,Summer,Upstream,03URSU18,macros,sunny wispy clouds,9:45,11:30,,,,,,,7.48,14.9,9.11,,,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DFR,1,,,,,7.67,19.6,8.56,43,0.028,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DM,1,,,,,7.65,19.9,8.48,43,0.069,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DSH,1,,,,,7.66,20.1,8.46,14,0.258,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DSP,1,,,,,7.7,20.2,8.45,915,0.157,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DSR,1,,,,,7.66,19,8.62,62,0,4.6,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DFR,2,,,,,7.67,19.8,8.49,34,0.064,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DM,2,,,,,7.69,19.9,8.43,34,0.154,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DSH,2,,,,,7.66,20.1,8.46,8,0.367,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DSP,2,,,,,7.69,20.2,8.46,302,0.564,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DSR,2,,,,,7.63,19.1,8.51,33,0,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DFR,3,,,,,7.66,19.8,8.48,28,0.019,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DM,3,,,,,7.68,20,8.48,28,0.049,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DSH,3,,,,,7.67,20.1,8.46,12,0.228,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DSP,3,,,,,7.73,20.3,8.51,96,0.34,,,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,partly cloudy,15:00,16:00,DSR,3,,,,,7.68,19.3,8.65,34,0.005,,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,UFR,1,,,,,7.94,18.6,9.02,31,0.001,,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,UM,1,,,,,7.98,18.7,9.08,1129,0.006,,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,USH,1,,,,,7.91,18.7,8.83,94,0.003,,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,USR,1,,,,,7.83,18.3,9.18,106,0.001,5.6,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,USU,1,,,,,7.94,18.8,8.83,364,0.028,,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,UFR,2,,,,,7.94,18.8,9.05,85,0.002,,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,UM,2,,,,,7.96,18.8,9.08,1343,0.175,,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,USH,2,,,,,7.93,18.8,8.81,60,0.019,,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,USR,2,,,,,7.9,18.4,9.18,108,0,,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,USU,2,,,,,7.94,18.9,8.84,1117,0.461,,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,UFR,3,,,,,7.93,18.7,9,199,0.003,,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,UM,3,,,,,7.97,18.8,9.08,1358,0.62,,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,USH,3,,,,,7.94,18.8,8.83,277,0.143,,,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,USR,3,,,,,7.94,18.5,9.17,101,0,,,,Sun came out
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,partly cloudy,14:08,15:00,USU,3,,,,,7.93,18.9,8.84,938,0.148,,,,
9/17/2018,2018,Fall,Downstream,01DRFA18,macros,mostly sunny,13:45,14:30,DFR,,,,,,,,,,,12.4,135,,
9/17/2018,2018,Fall,Downstream,01DRFA18,macros,mostly sunny,13:45,14:30,DM,,,,,,,,,,,4.2,135,,
9/17/2018,2018,Fall,Downstream,01DRFA18,macros,mostly sunny,13:45,14:30,DSH,,,,,,,,,,,5.2,136.4,,
9/17/2018,2018,Fall,Downstream,01DRFA18,macros,mostly sunny,13:45,14:30,DSP,,,,,,,,,,,6.3,135.5,,
9/17/2018,2018,Fall,Downstream,01DRFA18,macros,mostly sunny,13:45,14:30,DSR,,,,,,,,,,,11.9,137.1,,
9/17/2018,2018,Fall,Downstream,01DRFA18,macros,mostly sunny,13:45,14:30,,,,,,,7.47,21.3,9.12,,,,,26.9,
9/24/2018,2018,Fall,Upstream,01URFA18,macros,cloudy,13:45,14:30,UFR,,,,,,,,,,,5.3,117.5,,
9/24/2018,2018,Fall,Upstream,01URFA18,macros,cloudy,13:45,14:30,UM,,,,,,,,,,,9.2,118.7,,
9/24/2018,2018,Fall,Upstream,01URFA18,macros,cloudy,13:45,14:30,USH,,,,,,,,,,,9.6,109.7,,
9/24/2018,2018,Fall,Upstream,01URFA18,macros,cloudy,13:45,14:30,USR,,,,,,,,,,,9.6,117.8,,
9/24/2018,2018,Fall,Upstream,01URFA18,macros,cloudy,13:45,14:30,USU,,,,,,,,,,,2.5,109.2,,
9/24/2018,2018,Fall,Upstream,01URFA18,macros,cloudy,13:45,14:30,,,,,,,7.61,13.1,10.86,,,,,17.1,
9/25/2018,2018,Fall,Downstream,02DRFA18,macros,raining,8:30,10:15,DFR,,,,,,7.73,,,,,7.7,120.3,,
9/25/2018,2018,Fall,Downstream,02DRFA18,macros,raining,8:30,10:15,DM,,,,,,7.68,,,,,9.9,119,,
9/25/2018,2018,Fall,Downstream,02DRFA18,macros,raining,8:30,10:15,DSH,,,,,,7.58,,,,,10.5,119.9,,
9/25/2018,2018,Fall,Downstream,02DRFA18,macros,raining,8:30,10:15,DSP,,,,,,7.42,,,,,4.3,123.5,,
9/25/2018,2018,Fall,Downstream,02DRFA18,macros,raining,8:30,10:15,DSR,,,,,,7.66,,,,,7.8,120.4,,
9/25/2018,2018,Fall,Downstream,02DRFA18,macros,raining,8:30,10:15,,,,,,,7.614,,,,,,,,
10/1/2018,2018,Fall,Downstream,waterQ_FA18DR,water,overcast,15:05,16:00,DFR,1,42.31501,-72.64111,39,29,7.52,14.8,10.7,15,0.207,13.7,106.3,17.1,
10/1/2018,2018,Fall,Downstream,waterQ_FA18DR,water,overcast,15:05,16:00,DM,1,42.3151531,-72.6410329,53,38,7.53,14.8,10.76,16,0.499,3.9,103.4,16.5,
10/1/2018,2018,Fall,Downstream,waterQ_FA18DR,water,overcast,15:05,16:00,DSH,1,42.315306,-72.6411069,42,34,7.53,14.8,10.7,6,0.544,4.3,103.4,16.7,
10/1/2018,2018,Fall,Downstream,waterQ_FA18DR,water,overcast,15:05,16:00,DSP,1,42.31528,-72.64104,54,27.5,7.52,14.8,10.76,24,0.525,3.8,105.1,16.6,
